latitude,longitude,tweets
53.349805,-6.260310,389779
54.597285,-5.930120,123731
52.980821,-6.044589,113685
34.052234,-118.243685,104789
53.270559,-9.056668,79709
53.252782,-9.514605,59969
53.342197,-9.803394,56055
53.240311,-9.465549,47097
47.606209,-122.332071,46879
51.896892,-8.486316,32662
55.049801,-8.228704,27995
53.249217,-9.277513,27283
53.287939,-9.549955,24964
54.654941,-8.110718,22184
53.251812,-9.147468,18431
54.348750,-6.651610,18201
52.093676,-7.620363,16988
52.223406,-10.366321,14568
53.249180,-9.204950,13419
54.996612,-7.308575,13322
52.167894,-9.525986,12765
52.147785,-10.280205,11932
53.939009,-9.441452,10764
53.934581,-9.351646,10251
40.714353,-74.005973,10180
52.138761,-10.270536,9814
53.350013,-6.436985,9319
53.264108,-9.598267,9007
52.668020,-8.630498,8500
52.252270,-7.127206,8435
50.850340,4.351710,8001
54.180060,-6.333930,7726
53.381290,-6.591850,7546
54.463248,-6.334376,7314
53.158934,-6.909568,7262
52.336916,-6.463338,6582
42.886447,-78.878369,5960
54.596570,-7.306910,5649
53.610311,-6.863656,5613
55.2,-7.333333,5583
55.134651,-7.453448,5467
55.864237,-4.251806,5403
52.864297,-8.197556,5375
51.950274,-9.158524,5299
51.850747,-9.23264,5222
52.497475,-6.550907,4671
53.324060,-9.835678,4631
55.034738,-8.306362,4536
51.517099,-0.146084,4455
53.338748,-9.181478,4309
53.925232,-6.488942,4304
40.65,-73.95,4206
54.679791,-5.959392,4205
52.654145,-7.244788,3963
55.073893,-8.291824,3958
53.657690,-6.667707,3805
54.478705,-6.403888,3760
52.836507,-6.934136,3727
52.047890,-7.582437,3502
44.483390,-77.050460,3419
53.627591,-8.189096,3412
52.847425,-8.988738,3208
53.83441,-7.081322,3172
53.408371,-2.991573,3164
55.08138,-8.304416,3134
53.479251,-2.247926,3124
40.416775,-3.703790,3111
52.175064,-10.363936,2942
3.139003,101.686855,2918
54.249243,-6.968308,2892
45.182037,-93.515625,2844
53.271039,-9.547695,2789
-12.970382,-38.512382,2704
53.373652,-6.358419,2435
52.144135,-9.717336,2393
54.654899,-8.104097,2348
52.912524,-0.643582,2193
53.342731,-6.226755,2172
54.998153,-8.291505,2099
52.960663,-7.201463,2086
38.624565,-90.184665,2066
53.198914,-8.566093,1990
54.878717,-8.277183,1899
