latitude,longitude,tweets
55.864237,-4.251806,53302
55.953252,-3.188267,20714
57.477773,-4.224721,16114
57.225437,-7.347672,10923
57.535926,-6.226273,7470
58.209435,-6.384869,5610
58.241575,-6.661592,5431
57.586422,-3.868475,3845
55.458564,-4.629179,2819
56.394994,-3.430838,2081
57.591903,-4.40291,1684
55.965089,-4.161484,1668
51.517099,-0.146084,1371
45.42153,-75.697193,1315
55.956476,-4.771983,939
53.939009,-9.441452,925
57.595347,-4.428411,904
57.411759,-7.269441,897
34.052234,-118.243685,882
56.722493,-5.245391,802
56.980884,-7.456796,715
57.597950,-4.432286,704
43.653226,-79.383184,689
48.079359,7.358512,669
55.950973,-4.926214,635
47.606209,-122.332071,629
56.415157,-5.471047,611
44.681987,-63.744311,602
45.50867,-73.553992,586
55.756764,-6.288022,526
51.165691,10.451526,480
53.349805,-6.260310,476
42.886447,-78.878369,475
56.819817,-5.105218,473
49.01343,12.101624,468
53.917064,-122.749669,446
46.510712,-63.416814,437
57.149717,-2.094278,435
43.825592,87.616848,427
35.9132,-79.055845,339
39.653599,-105.1911,337
54.892473,-2.932931,333
38.907231,-77.036464,317
45.62266,-61.992803,309
56.493238,-6.906971,307
57.336924,-4.575195,292
44.665206,-63.567743,292
54.597285,-5.930120,286
55.070859,-3.60512,280
52.254523,-2.266838,280
55.623396,-3.523964,278
55.958674,-2.774864,276
31.769956,-106.496805,270
64.59581,18.676367,269
-41.28646,174.776236,265
57.19449,-3.823812,263
51.960665,7.626135,261
51.045325,-114.058101,246
56.553917,-5.40812,236
39.550051,-105.782067,234
36.965,-120.081667,233
58.301944,-134.419722,224
57.072728,-7.292431,208
55.755826,37.6173,205
40.65,-73.95,187
53.801279,-1.548567,186
56.009715,-3.72277,185
54.236107,-4.548056,177
46.283521,-96.077789,172
48.428421,-123.365644,170
47.681488,-122.208735,163
51.278708,0.521725,162
57.570376,-7.28124,153
55.872867,-4.33227,153
55.973847,-2.896881,152
44.648863,-63.57532,152
51.262551,-1.093609,148
58.276544,-3.770537,147
56.480177,-2.819282,147
57.063367,-6.540801,140
56.591794,-6.189129,137
57.152525,-2.093209,124
57.99326,-6.873622,116
55.90702,-3.551717,113
55.736254,-6.177067,109
45.646891,-61.403928,109
53.292790,-6.141937,106
35.689488,139.691706,106
-20.917574,142.702796,106
50.850340,4.351710,103
47.751074,-120.740138,101
53.350013,-6.436985,100
39.993596,-105.089706,98
56.871433,-5.438309,97
56.439198,-6.000887,90
35.517491,-86.580447,89
46.209675,-60.613043,84
56.003212,-3.887711,83
56.116523,-3.936903,81
56.462018,-2.970721,77
55.614719,-4.498792,77
56.107682,-3.752998,67
38.624565,-90.184665,66
47.921378,106.90554,64
-27.471011,153.023449,60
55.550658,-2.838524,54
41.385064,2.173403,52
1.352083,103.819836,51
57.72822,-5.693912,50
53.002668,-2.179404,49
52.998337,-3.944894,47
52.130074,-10.450284,47
55.911809,-4.735906,44
52.630886,1.297355,40
46.072099,-61.391766,40
35.20105,-91.831833,39
42.358431,-71.059773,38
37.917594,-121.171039,36
48.135125,11.581981,32
50.652052,9.162438,31
33.748995,-84.387982,31
55.949338,-2.770446,29
55.773543,-3.919354,29
53.933271,-116.576503,29
56.500591,-5.526334,28
36.162839,-85.501642,28
51.555774,-1.779718,27
55.675627,-4.064323,26
57.4325,-5.814961,22
55.945287,-4.564554,21
53.249217,-9.277513,21
56.034908,-3.35056,20
58.149735,-5.240615,18
57.583333,-4.25,17
52.927842,-4.133384,17
57.666505,-2.524038,16
56.071741,-3.452151,16
53.270559,-9.056668,16
40.486216,-74.451819,16
57.808878,-5.06886,15
56.588386,-6.185178,14
51.899386,-2.078253,14
39.5186,-104.761363,13
53.154659,-6.779817,12
50.619957,-3.413702,12
-22.913395,-43.20071,11
55.945124,-3.959414,9
56.621852,-6.070278,8
57.481327,-4.228556,7
56.568195,-3.587103,7
46.248685,-60.851817,7
29.703002,-98.124453,7
-37.814107,144.96328,7
33.209841,-87.569173,6
25.280282,51.522476,6
55.847258,-4.440114,5
-33.867487,151.20699,4
33.448377,-112.074037,3
