latitude,longitude,tweets
54.075783,-4.737732,6063
54.236107,-4.548056,3923
53.259082,-1.91483,3423
54.147959,-4.476357,782
54.203261,-4.643126,757
54.222442,-4.691417,495
-37.814107,144.96328,491
48.079359,7.358512,396
55.864237,-4.251806,352
54.076488,-4.740736,316
55.953252,-3.188267,298
54.168132,-4.729481,247
53.795984,-1.759398,237
54.07314,-4.659026,145
54.153991,-4.47361,124
54.157609,-4.483223,120
34.052234,-118.243685,95
54.283236,-4.587532,92
54.321755,-4.483384,61
52.980821,-6.044589,52
53.349805,-6.260310,49
49.214439,-2.13125,46
38.624565,-90.184665,43
52.586973,-2.12882,36
51.864245,-2.238156,34
54.324009,-4.391769,30
53.292790,-6.141937,28
42.886447,-78.878369,23
54.276610,-8.476089,18
54.167256,-4.524537,15
51.517099,-0.146084,13
53.350013,-6.436985,12
51.481581,-3.17909,12
31.769956,-106.496805,11
56.107682,-3.752998,9
57.477773,-4.224721,7
52.415303,-4.08292,7
44.665206,-63.567743,7
38.907231,-77.036464,7
54.097598,-4.631092,6
54.085239,-4.754467,6
51.752021,-1.257726,5
54.14635,-4.490089,4
53.925232,-6.488942,4
53.584441,-2.428619,4
53.408371,-2.991573,4
49.465691,-2.585278,4
48.856614,2.352222,4
41.603221,-73.087749,4
39.045755,-76.641271,4
37.77493,-122.419416,4
55.756764,-6.288022,3
52.636878,-1.139759,3
52.093676,-7.620363,3
38.804836,-77.046921,3
54.076236,-4.656918,2
44.483390,-77.050460,2
43.318334,-1.981231,2
56.980884,-7.456796,1
54.597285,-5.930120,1
54.341291,-5.748485,1
52.520007,13.404954,1
52.09179,5.11457,1
42.280826,-83.743038,1
41.671409,-91.346552,1
34.090009,-117.89034,1
