latitude,longitude,tweets
-36.908748,174.862331,15364
-36.84846,174.763332,10187
-41.28646,174.776236,9951
-43.532054,172.636225,5450
-37.953411,176.990801,1889
-37.687797,176.16513,1236
-38.662334,178.017649,1221
-36.968628,174.793687,1152
-37.787001,175.279253,1064
-37.682503,176.188023,1005
-40.352306,175.608215,867
-38.136848,176.249746,764
-40.039722,175.176385,629
-35.046371,173.744973,617
-41.212881,175.241196,613
-17.538843,-149.829523,444
-45.87876,170.502798,422
-35.379531,174.064572,419
-35.407194,173.803926,379
-41.513442,173.96125,369
-36.855241,174.651455,363
-39.001094,174.237665,324
-37.667411,175.148837,302
-38.064896,177.003451,272
-35.725112,174.323708,269
-41.133333,174.85,268
-36.836211,174.434069,260
-40.988056,174.950989,252
-36.850424,174.54254,252
-37.814107,144.96328,230
-44.828004,169.634525,228
-41.225099,174.914887,222
-35.11733,173.267559,207
-36.865579,174.6471,199
-35.171339,173.153272,185
-39.353815,174.438272,154
-40.760587,175.156018,150
-41.143333,175.019514,148
45.42153,-75.697193,147
-37.841077,176.362705,147
-43.513435,172.647497,146
-38.332983,175.163456,144
-37.896546,175.602364,129
-45.801641,170.706671,121
-38.007228,177.287128,112
-39.930089,175.04789,108
52.520007,13.404954,103
-38.372598,178.296789,102
-36.994102,174.87266,85
48.134657,7.657318,84
-34.928165,173.443012,84
-39.588335,174.279539,77
-41.270632,173.283965,76
-37.023674,174.898281,70
-38.217965,175.870579,52
-32.536809,115.742746,52
-41.03325,173.019242,49
-38.138904,177.006088,47
-37.638654,176.183627,42
-13.850696,-171.751355,41
-36.634444,174.74223,40
-40.039947,175.177773,37
-39.639578,176.839232,36
-39.108987,176.741637,35
45.638728,-122.661486,30
-40.851875,174.914101,30
-34.994062,173.528918,29
-36.953021,174.468809,28
-31.953513,115.857047,28
-39.055625,174.075228,27
-38.458989,176.701097,25
-43.754227,171.163724,24
-44.396972,171.254973,23
-36.515102,174.662816,23
-43.333823,172.642857,19
15.870032,100.992541,18
-35.387899,174.013869,18
22.396428,114.109497,17
-41.084776,175.455519,17
-40.430892,175.560495,16
-42.450392,171.210762,15
-37.695829,176.072893,15
-35.18437,174.164616,15
-43.603258,172.719323,13
-38.036448,176.793476,13
-36.791954,174.687403,13
-35.26231,174.122354,12
-40.622245,175.28618,11
-38.61308,176.959992,11
34.052234,-118.243685,10
51.517099,-0.146084,9
19.896766,-155.582782,9
-38.754684,177.159278,9
-39.603735,176.8921,8
-20.917574,142.702796,8
-27.471011,153.023449,7
-41.227038,174.885102,6
-43.511223,172.647842,5
-37.697179,176.284717,4
-39.660361,175.848624,3
-36.801924,175.108015,3
44.558803,-72.577841,2
31.968599,-99.901813,2
-45.034512,169.201691,2
-44.651522,169.288464,2
-41.290593,174.001004,2
-45.031162,168.662644,1
-39.492844,176.912018,1
-36.270226,174.407817,1
